country,sector,step (tC02perM$),total (tC02perM$),counterfactual (tC02perM$),change (%),output (M$),counterfactual output (M$),sector name
ARG,01T02,3751.921661829102,4868.553037241259,4524.5407651126725,-7.066006460176496,55102.686125704335,35679.911420179335,Agriculture
ARG,03,77.53830445054238,263.745302490648,226.24093806364473,-14.219917501026629,2914.68844465323,2936.17005027788,Fishing
ARG,05T06,1321.9888855212714,1769.467083048022,1694.2173396092273,-4.252678343649791,27522.787702446847,22008.60414539147,"Mining, energy"
ARG,07T08,51.0274228793103,284.09145114564274,236.7946774201112,-16.64843258563394,4926.994900177776,4998.000784359372,"Mining, non-energy"
ARG,10T12,53.31957134995618,1947.6036536463175,1352.9456356228784,-30.532804603755807,79483.00957230938,78418.55246328907,Food products
ARG,13T15,242.4411759132503,906.8573470498424,725.7970322297384,-19.965688695043738,9697.197644517402,9413.304827877417,Textiles
ARG,16,63.17202136576737,555.289097629524,435.40835255675626,-21.588888667997836,2088.94348079074,2151.106392980558,Wood
ARG,17T18,57.80887207182833,418.6036403535088,339.5503818935793,-18.884990678334617,10655.803822544944,11099.528228457779,Paper
ARG,19,350.2614826862572,1610.3624938889138,1408.9303837512853,-12.508494882489714,17616.546446206958,16421.94791202877,Coke
ARG,20,212.99346130289223,760.8932755466642,648.222798529391,-14.80765839812753,19263.312309692417,19458.863064852892,Chemicals
ARG,21,48.96662423432576,343.5964193004446,284.69416400040194,-17.14286063282222,7801.232083550836,8156.428146807886,Pharmaceuticals
ARG,22,418.6694546048519,947.6860399865743,835.1093803277437,-11.879109210095095,8510.293647676845,8251.608657936933,Plastics
ARG,23,1330.3533419387888,1812.7965566471182,1719.0154950466895,-5.1732810974598635,6769.692476492745,6095.345475733151,Non-metallic minerals
ARG,24,650.8251788549235,1297.4206775530865,1195.098113389761,-7.886614259632751,12856.668218064133,12573.05668059206,Basic metals
ARG,25,11.656195331475006,522.9090897461194,415.7888602296499,-20.4854403216586,6863.30296679033,7314.147138152626,Fabricated metals
ARG,26,3.421308204874821,463.45426014986543,367.21314072525075,-20.7660448289964,4968.859565407671,5195.327353702209,Electronic
ARG,27,4.944064347915937,547.2653452624027,450.7418019522728,-17.63743020560689,3236.2038343502654,3419.8874953009217,Electrical equipment
ARG,28,8.118601409229045,424.5368042392685,335.2769425792971,-21.02523521368589,9484.392214706848,9946.209961445797,Machinery
ARG,29T30,9.18853699208809,520.2874374469142,419.1447671271335,-19.439767912924168,17304.16932934035,17566.28663689361,Transport equipments
ARG,31T33,335.84980188900914,666.9834239283834,595.8457045755001,-10.665590298166336,3808.249976049356,3904.7628644785013,Manufacturing nec
ARG,35,1700.5360466842865,2597.784225031021,2416.246783468497,-6.988164752611667,24888.622668436547,21196.161200183116,Energy
ARG,36T39,50.80757072072782,315.766589464978,260.0604417029643,-17.641558550066975,5943.996056414363,6040.982900289032,Water supply
ARG,41T43,10.424179370049233,383.03261808671476,311.08875214299746,-18.78269957871575,39715.35650945392,40803.6824779489,Construction
ARG,45T47,31.496280556873074,163.83524119938036,137.1280022442775,-16.30127850368976,95312.84160932164,96366.98541080428,"Wholesale, retail"
ARG,49,365.7019161369675,651.2090737387327,599.6515083133852,-7.917206240592492,32493.67716068904,31450.347596623677,Land transport
ARG,50,1461.007927397783,1759.6914641110218,1703.951616104558,-3.1675921116445807,1296.365313618403,1161.0239541733229,Water transport
ARG,51,1220.0664522803304,1819.5565244351894,1706.8351413241378,-6.194992109192185,2936.7252851705707,2636.8006012744418,Air transport
ARG,52,106.03864189457032,477.2186026073756,401.69491553961296,-15.825805334311028,8977.859231227543,8879.456607576634,Warehousing
ARG,53,51.5925691393973,266.0687238478697,226.7424202912699,-14.780505948938753,1376.1671726051482,1429.6362772374828,Post
ARG,55T56,11.951498743234568,572.2833604858105,417.99799173516857,-26.959611165292188,28783.0009767377,29737.0347353811,Tourism
ARG,58T60,12.712857277462213,206.5221764522042,167.08807817913467,-19.094365046165308,11327.11528629273,11787.415123794395,Media
ARG,61,14.227231877901254,181.54609151750955,147.6947663901809,-18.646132695213552,13495.246415307818,13965.781039037349,Telecom
ARG,62T63,12.249738448820674,181.12402700288874,147.43667809907296,-18.59905030892368,3428.6446339630616,3584.746271803006,IT
ARG,64T66,13.831174837738793,121.35704185974963,101.99728074847673,-15.952729907215982,34559.60940467342,35352.562966264595,"Finance, insurance"
ARG,68,9.890066356516158,69.69826808388335,58.05485623516118,-16.705453620036977,20727.869016261346,21479.591148538835,Real estate
ARG,69T75,16.857078720630096,165.49997057604017,136.13193227615722,-17.745041402523754,25627.216148151936,26354.236369145037,R&D
ARG,77T82,31.91731565796601,148.23753416876525,123.69264030489084,-16.557813108204144,26787.9670446724,27152.603616061602,Administration
ARG,84,33.169102931236615,195.51927512995718,159.65065603134,-18.345311005667412,50559.100240866166,52121.39500847563,Public sector
ARG,85,13.638440400329312,131.01539869141115,104.63255002617103,-20.137212059615464,31895.142496608085,32983.78801745576,Education
ARG,86T88,12.174516758227591,141.73259436092064,113.53611243788446,-19.89414082919707,41480.08582424586,42869.985644773886,Health
